sku,barcode,category,subcategory,product_name,variant_name,net_content,selling_unit,retail_price_dzd,purchase_price_dzd,supplier_code,purchase_unit,units_per_purchase_unit,shelf_life_days,base_daily_rate,seasonality_profile,substitutability_tier
GDZ-0001,2000000000015,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Grand Lait Entier Brique 1L,1000 ml,piece,143.00,105.60,SUP-LAIT,carton,12,120,5.165,dairy_stable,2
GDZ-0002,2000000000022,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Grand Lait Demi-Écrémé Brique 1L,1000 ml,piece,134.00,101.02,SUP-LAIT,carton,12,120,4.492,dairy_stable,2
GDZ-0003,2000000000039,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Silhouette Écrémé Brique 1L,1000 ml,piece,140.00,112.23,SUP-LAIT,carton,12,120,2.298,dairy_stable,2
GDZ-0004,2000000000046,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Candia Chocolat Brique 1L,1000 ml,piece,131.00,98.46,SUP-LAIT,carton,12,120,2.059,dairy_stable,2
GDZ-0005,2000000000053,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Candy Choco Brique 200ml,200 ml,piece,55.00,42.51,SUP-LAIT,carton,48,120,5.178,dairy_stable,2
GDZ-0006,2000000000060,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Candy Fraise Brique 200ml,200 ml,piece,59.00,43.62,SUP-LAIT,carton,48,120,10.537,dairy_stable,2
GDZ-0007,2000000000077,Produits Laitiers & Crémerie,Laits & Lben,Lait UHT Candia,Candia Croissance 1-3 ans 1L,1000 ml,piece,140.00,112.21,SUP-LAIT,carton,12,120,3.724,dairy_stable,2
GDZ-0008,2000000000084,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Fraise Pot 100g,100 g,piece,27.00,19.23,SUP-LAIT,carton,24,25,2.091,dairy_fresh,1
GDZ-0009,2000000000091,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Pêche Pot 100g,100 g,piece,30.00,24.05,SUP-LAIT,carton,24,25,1.453,dairy_fresh,1
GDZ-0010,2000000000107,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Abricot Pot 100g,100 g,piece,30.00,23.37,SUP-LAIT,carton,24,25,1.335,dairy_fresh,1
GDZ-0011,2000000000114,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Cerise Pot 100g,100 g,piece,30.00,23.34,SUP-LAIT,carton,24,25,3.236,dairy_fresh,1
GDZ-0012,2000000000121,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Banane Pot 100g,100 g,piece,30.00,23.15,SUP-LAIT,carton,24,25,1.124,dairy_fresh,1
GDZ-0013,2000000000138,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Fort,Vanille Pot 100g,100 g,piece,30.00,24.17,SUP-LAIT,carton,24,25,1.936,dairy_fresh,1
GDZ-0014,2000000000145,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Mamou,Fraise Pot 80g,80 g,piece,27.00,19.37,SUP-LAIT,carton,30,25,3.355,dairy_fresh,1
GDZ-0015,2000000000152,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Mamou,Pêche Pot 80g,80 g,piece,25.00,19.46,SUP-LAIT,carton,30,25,1.940,dairy_fresh,1
GDZ-0016,2000000000169,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Mamou,Chocolat Pot 80g,80 g,piece,25.00,19.25,SUP-LAIT,carton,30,25,1.090,dairy_fresh,1
GDZ-0017,2000000000176,Produits Laitiers & Crémerie,Yaourts & Crèmes,Yaourt Soummam Mamou,Vanille Pot 80g,80 g,piece,25.00,19.58,SUP-LAIT,carton,30,25,1.810,dairy_fresh,1
GDZ-0018,2000000000183,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Le Berbère,Boîte 8 portions 120g,120 g,piece,190.00,136.49,SUP-LAIT,carton,48,180,1.347,dairy_stable,2
GDZ-0019,2000000000190,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Le Berbère,Boîte 16 portions 240g,240 g,piece,300.00,206.92,SUP-LAIT,carton,24,180,0.853,dairy_stable,2
GDZ-0020,2000000000206,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Le Berbère,Boîte 24 portions 360g,360 g,piece,430.00,310.72,SUP-LAIT,carton,20,180,0.381,dairy_stable,2
GDZ-0021,2000000000213,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Le Berbère,Boîte 32 portions 480g,480 g,piece,530.00,368.56,SUP-LAIT,carton,12,180,0.583,dairy_stable,2
GDZ-0022,2000000000220,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Le Berbère,Barquette Fondant 400g,400 g,piece,451.00,318.75,SUP-LAIT,carton,12,180,1.247,dairy_stable,2
GDZ-0023,2000000000237,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Soummam,Boîte 8 portions 120g,120 g,piece,190.00,137.11,SUP-LAIT,carton,48,180,1.342,dairy_stable,2
GDZ-0024,2000000000244,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Soummam,Boîte 16 portions 240g,240 g,piece,290.00,212.42,SUP-LAIT,carton,24,180,1.560,dairy_stable,2
GDZ-0025,2000000000251,Produits Laitiers & Crémerie,Fromages,Fromage Fondu Soummam,Boîte 24 portions 360g,360 g,piece,431.00,312.80,SUP-LAIT,carton,20,180,0.485,dairy_stable,2
GDZ-0026,2000000000268,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Fleurial Cevital,Barquette Tartine 250g,250 g,piece,144.00,110.49,SUP-CEVI,carton,24,150,0.890,staples,2
GDZ-0027,2000000000275,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Fleurial Cevital,Barquette Tartine 500g,500 g,piece,243.00,181.60,SUP-CEVI,carton,12,150,0.957,staples,2
GDZ-0028,2000000000282,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Fleurial Cevital,Plaquette Cuisson 250g,250 g,piece,120.00,96.18,SUP-CEVI,carton,24,150,0.727,staples,2
GDZ-0029,2000000000299,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Fleurial Cevital,Plaquette Cuisson 500g,500 g,piece,250.00,194.05,SUP-CEVI,carton,12,150,0.907,staples,2
GDZ-0030,2000000000305,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Sol,Barquette 250g,250 g,piece,130.00,103.85,SUP-EPIC,carton,24,150,1.966,staples,2
GDZ-0031,2000000000312,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Sol,Barquette 500g,500 g,piece,230.00,180.99,SUP-EPIC,carton,12,150,0.672,staples,2
GDZ-0032,2000000000329,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Mani,Barquette 250g,250 g,piece,132.00,99.43,SUP-EPIC,carton,24,150,2.302,staples,2
GDZ-0033,2000000000336,Produits Laitiers & Crémerie,Margarine & Smen,Margarine Mani,Barquette 500g,500 g,piece,243.00,184.99,SUP-EPIC,carton,12,150,0.846,staples,2
GDZ-0034,2000000000343,Produits Laitiers & Crémerie,Margarine & Smen,Smen Medina Cevital,Boîte Métal 500g,500 g,piece,570.00,460.00,SUP-CEVI,carton,24,540,0.446,ramadan_cooking,2
GDZ-0035,2000000000350,Produits Laitiers & Crémerie,Margarine & Smen,Smen Medina Cevital,Boîte Métal 1kg,1000 g,piece,850.00,673.43,SUP-CEVI,carton,12,540,0.258,ramadan_cooking,2
GDZ-0036,2000000000367,Produits Laitiers & Crémerie,Margarine & Smen,Smen Medina Cevital,Boîte Métal 2kg,2000 g,piece,1490.00,1121.24,SUP-CEVI,carton,6,540,0.388,ramadan_cooking,2
GDZ-0037,2000000000374,Produits Laitiers & Crémerie,Margarine & Smen,Smen Al Baka,Boîte Métal 500g,500 g,piece,540.00,424.26,SUP-EPIC,carton,24,540,1.185,ramadan_cooking,2
GDZ-0038,2000000000381,Produits Laitiers & Crémerie,Margarine & Smen,Smen Al Baka,Boîte Métal 1kg,1000 g,piece,860.00,656.14,SUP-EPIC,carton,12,540,0.469,ramadan_cooking,2
GDZ-0039,2000000000398,Produits Laitiers & Crémerie,Laits & Lben,Lben Soummam,Sachet Plastique 1L,1000 ml,piece,90.00,70.25,SUP-LAIT,carton,12,10,3.063,ramadan_fresh,2
GDZ-0040,2000000000404,Produits Laitiers & Crémerie,Laits & Lben,Lben Soummam,Bouteille 1L,1000 ml,piece,100.00,77.55,SUP-LAIT,carton,12,10,3.700,ramadan_fresh,2
