category,subcategory,vat_bp,sensitive,sensitive_reason
Produits Laitiers & Crémerie,Laits & Lben,900,0,
Produits Laitiers & Crémerie,Yaourts & Crèmes,900,0,
Produits Laitiers & Crémerie,Fromages,1900,0,
Produits Laitiers & Crémerie,Margarine & Smen,900,0,
Épicerie Salée,Pâtes & Couscous,900,0,
Épicerie Salée,Semoule & Farine,900,0,
Épicerie Salée,Huiles,900,0,
Épicerie Salée,Légumes Secs,900,0,
Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,1900,0,
Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,1900,0,
Épicerie Sucrée & Biscuiterie,Halwa & Confitures,1900,0,
Épicerie Sucrée & Biscuiterie,Chips & Snacks,1900,0,
Boissons & Jus,Eaux Minérales,900,0,
Boissons & Jus,Sodas & Boissons Gazeuses,1900,0,
Boissons & Jus,Jus & Nectars,1900,0,
Boissons & Jus,Boissons Énergisantes,1900,0,
Boissons & Jus,Sirops & Eaux Florales,1900,0,
Conserves & Condiments,Tomate & Harissa,900,0,
Conserves & Condiments,Sauces & Condiments,1900,0,
Conserves & Condiments,Thon & Poisson,1900,0,
Conserves & Condiments,"Olives, Pickles & Vinaigres",1900,0,
Conserves & Condiments,Épices,900,0,
"Café, Thé & Petit Déjeuner",Café,1900,0,
"Café, Thé & Petit Déjeuner",Thé & Infusions,1900,0,
"Café, Thé & Petit Déjeuner",Sucre & Édulcorants,900,0,
"Café, Thé & Petit Déjeuner",Miel & Sirop de Glucose,1900,0,
"Café, Thé & Petit Déjeuner",Céréales & Poudres Chocolatées,1900,0,
"Café, Thé & Petit Déjeuner",Alimentation Bébé,900,0,
Hygiène & Soins Personnels,Soins Cheveux,1900,0,
Hygiène & Soins Personnels,Savons & Gels Douche,1900,0,
Hygiène & Soins Personnels,Hygiène Bucco-Dentaire,1900,0,
Hygiène & Soins Personnels,Déodorants,1900,0,
Hygiène & Soins Personnels,Hygiène Bébé,1900,0,
Hygiène & Soins Personnels,Protections Féminines,1900,0,
Hygiène & Soins Personnels,Papier & Emballage,1900,0,
Détergents & Produits d'Entretien,Lessives,1900,0,
Détergents & Produits d'Entretien,Vaisselle,1900,0,
Détergents & Produits d'Entretien,Javel & Nettoyants,1900,0,
Détergents & Produits d'Entretien,Accessoires Ménagers,1900,0,
Détergents & Produits d'Entretien,Désodorisants,1900,0,
Détergents & Produits d'Entretien,Insecticides,1900,0,
