sku,effective_date,retail_price_dzd,purchase_price_dzd
GDZ-0002,2025-02-20,144.00,108.79
GDZ-0003,2025-06-18,150.00,120.25
GDZ-0005,2025-06-04,60.00,46.37
GDZ-0006,2025-04-24,64.00,47.59
GDZ-0006,2025-06-06,69.00,51.56
GDZ-0008,2025-06-13,32.00,23.08
GDZ-0008,2025-08-19,37.00,26.93
GDZ-0009,2025-10-11,35.00,28.06
GDZ-0010,2025-06-10,35.00,27.27
GDZ-0013,2025-02-24,35.00,28.20
GDZ-0015,2025-06-26,30.00,23.35
GDZ-0015,2025-08-21,35.00,27.24
GDZ-0016,2025-02-18,30.00,23.10
GDZ-0017,2025-02-22,30.00,23.50
GDZ-0018,2025-10-08,210.00,150.86
GDZ-0020,2025-06-19,460.00,332.40
GDZ-0024,2025-06-17,320.00,234.39
GDZ-0025,2025-08-02,461.00,334.62
GDZ-0029,2025-04-30,270.00,209.57
GDZ-0031,2025-04-18,250.00,196.73
GDZ-0032,2025-02-24,142.00,107.08
GDZ-0033,2025-06-11,253.00,192.70
GDZ-0036,2025-02-18,1620.00,1219.07
GDZ-0036,2025-08-29,1690.00,1271.75
GDZ-0039,2025-06-24,95.00,74.15
GDZ-0040,2025-09-30,110.00,85.31
GDZ-0043,2025-08-10,264.00,208.08
GDZ-0044,2025-08-23,140.00,105.59
GDZ-0046,2025-08-25,320.00,221.33
GDZ-0047,2025-04-04,450.00,327.32
GDZ-0048,2025-08-14,460.00,326.38
GDZ-0048,2025-10-10,490.00,347.67
GDZ-0049,2025-06-24,932.00,660.43
GDZ-0050,2025-08-02,270.00,192.46
GDZ-0053,2025-02-19,103.00,79.07
GDZ-0055,2025-06-28,100.00,78.48
GDZ-0056,2025-06-02,100.00,80.39
GDZ-0056,2025-10-04,110.00,88.43
GDZ-0057,2025-04-06,110.00,86.91
GDZ-0060,2025-02-12,100.00,79.34
GDZ-0061,2025-04-08,100.00,78.51
GDZ-0061,2025-08-21,110.00,86.36
GDZ-0062,2025-06-13,110.00,89.72
GDZ-0063,2025-08-28,100.00,78.81
GDZ-0065,2025-02-04,100.00,80.27
GDZ-0067,2025-06-04,110.00,88.10
GDZ-0069,2025-10-19,210.00,166.05
GDZ-0071,2025-02-05,214.00,168.45
GDZ-0072,2025-02-02,150.00,117.01
GDZ-0073,2025-07-31,230.00,180.57
GDZ-0074,2025-07-31,232.00,182.08
GDZ-0075,2025-09-30,220.00,176.97
GDZ-0077,2025-08-16,150.00,121.01
GDZ-0078,2025-02-20,210.00,170.49
GDZ-0078,2025-08-06,220.00,178.61
GDZ-0079,2025-04-14,214.00,167.80
GDZ-0081,2025-08-09,120.00,95.86
GDZ-0086,2025-02-25,100.00,80.40
GDZ-0087,2025-08-16,200.00,157.57
GDZ-0088,2025-10-04,430.00,351.78
GDZ-0094,2025-02-20,810.00,651.41
GDZ-0095,2025-02-01,1070.00,871.97
GDZ-0096,2025-06-06,1270.00,994.30
GDZ-0097,2025-06-09,210.00,164.16
GDZ-0098,2025-08-25,230.00,179.97
GDZ-0099,2025-10-12,280.00,226.61
GDZ-0100,2025-08-27,210.00,168.66
GDZ-0100,2025-10-09,220.00,176.69
GDZ-0102,2025-08-25,75.00,44.75
GDZ-0102,2025-10-06,80.00,47.73
GDZ-0103,2025-02-09,80.00,50.73
GDZ-0104,2025-02-10,170.00,106.35
GDZ-0104,2025-08-06,180.00,112.61
GDZ-0106,2025-04-12,111.00,72.18
GDZ-0107,2025-06-03,110.00,68.67
GDZ-0108,2025-06-22,110.00,69.12
GDZ-0108,2025-10-16,120.00,75.40
GDZ-0109,2025-06-03,100.00,61.07
GDZ-0110,2025-06-06,170.00,110.28
GDZ-0111,2025-08-04,160.00,99.64
GDZ-0112,2025-10-06,800.00,481.30
GDZ-0113,2025-09-29,1500.00,1004.96
GDZ-0114,2025-02-14,1170.00,729.86
GDZ-0115,2025-04-05,764.00,484.01
GDZ-0115,2025-08-10,824.00,522.22
GDZ-0116,2025-08-02,1453.00,966.94
GDZ-0117,2025-04-27,50.00,32.66
GDZ-0118,2025-10-25,150.00,95.51
GDZ-0120,2025-08-15,45.00,27.71
GDZ-0121,2025-05-01,220.00,144.74
GDZ-0121,2025-08-12,240.00,157.90
GDZ-0122,2025-02-18,40.00,26.53
GDZ-0126,2025-05-01,512.00,316.29
GDZ-0126,2025-10-10,552.00,341.10
GDZ-0127,2025-04-20,510.00,311.89
GDZ-0129,2025-04-11,120.00,79.63
GDZ-0133,2025-04-04,230.00,139.14
GDZ-0133,2025-08-12,240.00,145.19
GDZ-0136,2025-08-10,233.00,149.00
GDZ-0137,2025-04-21,440.00,267.93
GDZ-0140,2025-06-06,261.00,164.10
GDZ-0140,2025-08-14,281.00,176.72
GDZ-0141,2025-10-21,280.00,178.75
GDZ-0144,2025-06-01,550.00,338.56
GDZ-0144,2025-10-14,590.00,363.18
GDZ-0145,2025-03-02,40.00,26.82
GDZ-0146,2025-06-11,36.00,23.40
GDZ-0148,2025-04-26,47.00,27.81
GDZ-0150,2025-06-23,40.00,26.87
GDZ-0152,2025-02-25,140.00,99.23
GDZ-0152,2025-06-23,150.00,106.32
GDZ-0153,2025-08-24,240.00,165.47
GDZ-0155,2025-06-03,131.00,92.45
GDZ-0158,2025-10-09,130.00,86.70
GDZ-0159,2025-08-23,130.00,88.78
GDZ-0162,2025-02-04,30.00,22.62
GDZ-0162,2025-10-14,35.00,26.39
GDZ-0163,2025-06-14,52.00,36.51
GDZ-0164,2025-02-10,65.00,49.81
GDZ-0165,2025-10-11,140.00,101.69
GDZ-0168,2025-08-20,200.00,131.41
GDZ-0169,2025-04-03,200.00,139.83
GDZ-0170,2025-02-10,210.00,147.51
GDZ-0170,2025-06-23,220.00,154.53
GDZ-0171,2025-04-24,220.00,148.60
GDZ-0173,2025-08-02,75.00,51.08
GDZ-0174,2025-02-06,190.00,125.32
GDZ-0174,2025-06-13,210.00,138.51
GDZ-0175,2025-10-26,200.00,132.71
GDZ-0179,2025-10-26,80.00,55.82
GDZ-0180,2025-10-21,150.00,98.36
GDZ-0181,2025-04-04,150.00,102.99
GDZ-0182,2025-10-09,183.00,121.42
GDZ-0183,2025-06-18,181.00,127.47
GDZ-0184,2025-02-22,26.00,19.00
GDZ-0185,2025-06-20,50.00,35.90
GDZ-0189,2025-02-04,122.00,83.87
GDZ-0191,2025-10-22,211.00,143.61
GDZ-0192,2025-08-23,214.00,148.19
GDZ-0194,2025-04-14,75.00,51.84
GDZ-0197,2025-04-25,410.00,284.98
GDZ-0199,2025-02-11,190.00,128.55
GDZ-0201,2025-06-19,174.00,135.94
GDZ-0202,2025-08-04,290.00,233.89
GDZ-0204,2025-06-04,160.00,128.99
GDZ-0206,2025-08-01,290.00,227.01
GDZ-0208,2025-02-28,160.00,124.95
GDZ-0209,2025-08-12,290.00,232.12
GDZ-0210,2025-02-24,65.00,52.10
GDZ-0210,2025-06-16,70.00,56.11
GDZ-0211,2025-04-15,100.00,78.89
GDZ-0211,2025-06-08,110.00,86.78
GDZ-0212,2025-06-12,250.00,202.91
GDZ-0213,2025-08-13,140.00,113.44
GDZ-0217,2025-04-14,333.00,217.36
GDZ-0220,2025-08-07,210.00,125.71
GDZ-0220,2025-09-29,220.00,131.70
GDZ-0222,2025-06-26,593.00,363.33
GDZ-0223,2025-06-21,240.00,142.00
GDZ-0226,2025-04-28,430.00,320.80
GDZ-0229,2025-06-30,483.00,348.90
GDZ-0230,2025-10-02,480.00,346.07
GDZ-0231,2025-06-07,420.00,307.13
GDZ-0232,2025-02-23,480.00,356.86
GDZ-0232,2025-10-21,500.00,371.73
GDZ-0233,2025-02-02,493.00,368.27
GDZ-0233,2025-10-15,533.00,398.33
GDZ-0234,2025-06-05,390.00,285.04
GDZ-0234,2025-08-19,420.00,306.97
GDZ-0235,2025-08-27,270.00,203.84
GDZ-0236,2025-02-14,300.00,216.22
GDZ-0238,2025-10-07,204.00,143.89
GDZ-0240,2025-02-14,110.00,80.10
GDZ-0241,2025-04-22,114.00,81.18
GDZ-0243,2025-04-25,160.00,119.52
GDZ-0246,2025-08-25,170.00,136.47
GDZ-0248,2025-08-12,154.00,120.16
GDZ-0249,2025-04-24,160.00,127.99
GDZ-0249,2025-10-01,170.00,135.99
GDZ-0250,2025-02-01,160.00,129.90
GDZ-0252,2025-04-27,513.00,348.32
GDZ-0253,2025-02-28,930.00,639.09
GDZ-0254,2025-02-12,520.00,370.14
GDZ-0256,2025-08-26,470.00,313.27
GDZ-0259,2025-03-02,480.00,331.31
GDZ-0260,2025-10-09,562.00,393.66
GDZ-0262,2025-07-31,1480.00,1003.55
GDZ-0264,2025-02-05,303.00,201.88
GDZ-0265,2025-04-27,330.00,234.75
GDZ-0265,2025-08-06,350.00,248.98
GDZ-0266,2025-02-27,320.00,221.33
GDZ-0267,2025-03-02,361.00,242.52
GDZ-0267,2025-04-07,391.00,262.73
GDZ-0268,2025-06-09,343.00,228.24
GDZ-0269,2025-08-09,190.00,127.24
GDZ-0271,2025-02-24,160.00,108.36
GDZ-0271,2025-10-13,170.00,115.13
GDZ-0276,2025-06-30,140.00,114.49
GDZ-0277,2025-04-18,282.00,228.35
GDZ-0277,2025-10-21,302.00,244.66
GDZ-0278,2025-06-27,150.00,119.59
GDZ-0279,2025-08-22,272.00,222.75
GDZ-0280,2025-08-12,944.00,585.30
GDZ-0281,2025-08-21,1340.00,790.22
GDZ-0282,2025-02-01,1160.00,778.84
GDZ-0283,2025-06-24,271.00,198.90
GDZ-0284,2025-04-14,450.00,265.97
GDZ-0284,2025-09-30,470.00,277.79
GDZ-0286,2025-10-23,390.00,241.47
GDZ-0288,2025-10-24,521.00,337.20
GDZ-0289,2025-07-31,493.00,323.54
GDZ-0293,2025-02-13,1211.00,980.50
GDZ-0294,2025-08-23,1310.00,1063.40
GDZ-0295,2025-10-27,1230.00,1010.75
GDZ-0296,2025-02-21,1460.00,1189.39
GDZ-0298,2025-08-01,480.00,381.58
GDZ-0301,2025-04-16,370.00,239.23
GDZ-0302,2025-04-28,360.00,227.36
GDZ-0302,2025-10-05,390.00,246.31
GDZ-0304,2025-02-22,380.00,225.09
GDZ-0305,2025-04-26,263.00,155.41
GDZ-0306,2025-06-07,350.00,227.42
GDZ-0308,2025-04-13,363.00,231.62
GDZ-0309,2025-10-02,340.00,220.22
GDZ-0311,2025-06-21,320.00,213.46
GDZ-0311,2025-08-17,350.00,233.47
GDZ-0312,2025-07-31,65.00,38.56
GDZ-0313,2025-06-09,70.00,45.98
GDZ-0314,2025-04-30,75.00,47.78
GDZ-0315,2025-02-01,104.00,65.59
GDZ-0316,2025-06-09,120.00,79.51
GDZ-0317,2025-02-13,250.00,165.73
GDZ-0317,2025-04-26,270.00,178.99
GDZ-0319,2025-02-13,162.00,104.92
GDZ-0319,2025-08-26,172.00,111.48
GDZ-0320,2025-04-16,260.00,155.87
GDZ-0320,2025-08-07,280.00,167.86
GDZ-0321,2025-10-01,251.00,148.89
GDZ-0322,2025-04-29,150.00,91.77
GDZ-0322,2025-10-04,160.00,97.89
GDZ-0323,2025-10-20,163.00,103.68
GDZ-0324,2025-02-04,140.00,92.31
GDZ-0325,2025-06-11,300.00,189.00
GDZ-0325,2025-08-24,310.00,195.30
GDZ-0326,2025-06-01,310.00,194.26
GDZ-0327,2025-06-10,491.00,295.64
GDZ-0328,2025-10-10,500.00,315.52
GDZ-0329,2025-04-06,1283.00,955.84
GDZ-0330,2025-10-21,1540.00,1158.71
GDZ-0331,2025-06-16,1360.00,1019.46
GDZ-0332,2025-10-28,1230.00,897.14
GDZ-0333,2025-10-22,1690.00,1258.72
GDZ-0334,2025-08-20,1500.00,1131.78
GDZ-0335,2025-04-23,273.00,167.82
GDZ-0336,2025-08-20,294.00,178.25
GDZ-0339,2025-03-01,190.00,126.54
GDZ-0340,2025-04-15,170.00,104.83
GDZ-0341,2025-06-16,310.00,182.39
GDZ-0341,2025-10-13,330.00,194.16
GDZ-0342,2025-04-06,250.00,155.48
GDZ-0342,2025-08-20,270.00,167.92
GDZ-0343,2025-06-11,214.00,129.04
GDZ-0343,2025-10-15,224.00,135.18
GDZ-0344,2025-08-11,520.00,328.87
GDZ-0346,2025-04-25,120.00,78.14
GDZ-0346,2025-06-05,130.00,84.65
GDZ-0347,2025-04-17,190.00,122.03
GDZ-0347,2025-08-28,210.00,134.88
GDZ-0348,2025-08-17,270.00,159.54
GDZ-0349,2025-10-23,222.00,132.75
GDZ-0350,2025-02-21,212.00,137.72
GDZ-0354,2025-02-28,224.00,137.41
GDZ-0356,2025-02-10,910.00,575.47
GDZ-0357,2025-02-10,1900.00,1241.75
GDZ-0357,2025-04-12,2060.00,1346.32
GDZ-0358,2025-06-21,1120.00,718.45
GDZ-0360,2025-06-13,1144.00,724.93
GDZ-0361,2025-08-29,200.00,129.39
GDZ-0362,2025-06-16,210.00,141.35
GDZ-0364,2025-10-04,190.00,119.96
GDZ-0366,2025-08-03,300.00,200.14
GDZ-0369,2025-02-18,370.00,237.81
GDZ-0369,2025-06-15,400.00,257.09
GDZ-0370,2025-04-07,90.00,59.33
GDZ-0371,2025-02-26,90.00,56.36
GDZ-0372,2025-08-25,191.00,122.58
GDZ-0374,2025-02-10,202.00,136.09
GDZ-0374,2025-08-10,222.00,149.70
GDZ-0375,2025-04-22,290.00,186.35
GDZ-0376,2025-06-05,270.00,178.69
GDZ-0377,2025-08-16,101.00,64.87
GDZ-0377,2025-10-18,111.00,71.36
GDZ-0378,2025-08-01,85.00,57.93
GDZ-0379,2025-04-08,231.00,143.71
GDZ-0380,2025-10-17,210.00,142.34
GDZ-0381,2025-02-09,284.00,185.74
GDZ-0383,2025-04-08,170.00,107.11
GDZ-0386,2025-04-29,344.00,229.60
GDZ-0386,2025-10-02,374.00,249.86
GDZ-0387,2025-10-05,590.00,401.00
GDZ-0389,2025-04-03,263.00,168.86
GDZ-0390,2025-04-21,364.00,228.93
GDZ-0391,2025-04-20,340.00,217.80
GDZ-0391,2025-08-20,370.00,237.02
GDZ-0395,2025-10-20,680.00,436.56
GDZ-0397,2025-10-24,160.00,104.05
GDZ-0398,2025-08-06,230.00,150.93
